Year,Age_Group,Gender,Smoking_Prevalence,Drug_Experimentation,Socioeconomic_Status,Peer_Influence,School_Programs,Family_Background,Mental_Health,Access_to_Counseling,Parental_Supervision,Substance_Education,Community_Support,Media_Influence
2022,2,1,27.14,15.59,1,3,1,1,4,0,5,0,7,4
2022,0,2,42.95,34.19,1,2,1,5,2,1,3,1,2,1
2022,9,2,33.43,55.61,2,1,0,1,10,0,6,0,4,7
2020,3,1,12.77,47.09,2,10,1,6,10,0,4,0,9,5
2021,5,1,38.21,18.15,0,3,1,4,7,1,9,1,7,10
2023,9,1,31.28,16.16,1,7,1,9,8,1,2,1,10,8
2022,8,1,33.9,60.44,2,5,1,9,9,1,2,0,6,7
2020,1,2,42.71,35.78,2,2,0,3,5,0,7,0,4,4
2024,0,0,20.71,60.12,0,5,0,10,9,1,9,0,6,8
2021,1,1,32.58,36.58,1,2,1,2,1,1,7,0,5,6
2022,9,0,37.57,19.98,0,1,0,10,2,0,10,0,1,7
2022,8,2,35.28,12.03,2,10,0,3,4,0,8,0,2,3
2020,6,1,49.65,23.22,1,3,0,1,3,0,8,0,1,4
2021,5,0,38.47,55.3,0,7,0,9,10,0,2,0,2,1
2023,6,1,39.16,13.14,0,2,0,8,2,0,6,1,3,8
2022,1,2,8.58,34.97,0,2,0,1,1,0,9,0,5,1
2021,6,0,28.05,17.63,0,8,0,6,2,1,7,0,7,10
2024,0,1,29.52,67.3,1,3,0,1,3,1,9,1,4,5
2024,7,0,46.19,42.97,0,8,0,4,6,0,7,1,1,7
2022,5,0,5.81,44.2,0,10,0,4,8,0,9,0,4,4
2024,7,0,7.47,63.93,2,4,1,3,6,1,8,1,6,5
2022,9,1,20.17,18.91,1,10,0,9,4,1,6,0,5,5
2021,8,0,21.58,37.27,0,9,0,1,2,0,6,1,2,7
2020,5,0,6.0,54.89,0,8,1,3,7,0,9,0,2,8
2020,7,0,6.32,69.63,1,8,1,10,1,1,8,0,10,4
2020,7,2,21.13,39.85,2,2,0,1,8,1,3,0,7,8
2024,4,2,36.33,19.51,2,6,1,1,7,1,7,1,4,2
2020,5,0,32.69,45.19,2,6,0,3,4,0,10,1,3,7
2022,3,1,19.16,17.62,0,9,0,7,1,0,5,1,1,1
2020,8,2,19.68,21.88,1,3,0,6,7,0,10,1,10,9
2023,5,1,9.43,69.96,2,3,1,5,7,0,1,1,6,2
2020,4,1,25.13,55.47,0,6,1,2,2,0,9,0,5,1
2022,7,0,10.82,10.25,1,8,0,5,8,0,3,0,4,3
2020,0,1,19.63,61.6,1,2,0,3,3,0,6,0,4,2
2022,7,0,45.06,38.96,0,2,0,9,8,0,8,0,2,10
2022,4,2,46.78,25.79,2,8,1,4,10,1,9,1,5,4
2023,3,0,17.2,67.17,0,3,1,1,10,1,10,1,3,5
2022,4,2,9.43,63.55,2,9,0,5,10,0,3,0,3,4
2023,5,2,29.28,16.81,0,10,0,5,10,1,4,0,1,2
2022,1,0,37.79,41.9,0,3,1,5,9,1,9,1,6,9
2022,9,0,18.44,22.39,2,3,0,8,9,0,1,0,4,2
2024,1,0,23.01,23.41,1,6,1,10,3,0,3,1,4,3
2024,8,2,24.35,29.88,1,2,1,10,5,1,4,1,9,7
2024,8,0,47.49,21.83,2,8,0,4,1,0,4,1,3,10
2020,8,2,34.77,49.52,1,1,1,1,6,0,5,1,8,10
2024,7,2,49.08,58.01,2,8,1,4,9,1,6,0,8,5
2020,3,0,23.1,41.85,1,3,0,1,7,0,10,1,4,10
2021,2,1,20.42,62.46,2,9,0,5,4,0,4,0,8,5
2021,5,2,44.31,57.97,1,4,0,2,4,0,8,0,7,8
2020,2,1,7.45,19.64,0,2,1,4,5,1,3,0,10,7
2022,0,0,24.07,25.65,2,9,1,3,3,1,1,0,4,8
2023,7,1,11.46,20.05,0,5,1,2,10,0,4,1,6,8
2024,6,0,12.21,43.13,1,3,0,7,10,0,8,1,4,8
2020,7,1,6.16,36.94,2,3,1,7,4,0,1,1,3,2
2022,9,1,16.69,41.52,0,6,1,6,5,1,8,0,7,1
2024,6,2,46.82,19.03,1,2,1,10,2,1,1,1,7,2
2021,5,1,36.65,22.24,2,2,0,6,10,0,6,1,6,2
2024,2,1,14.63,61.42,1,5,1,10,2,1,4,0,3,6
2023,1,1,35.92,19.62,2,3,0,6,7,1,3,0,3,6
2020,9,0,46.01,45.4,0,9,1,6,8,0,4,0,2,6
2021,6,2,19.63,60.65,0,7,1,1,4,0,7,1,3,8
2021,5,0,49.1,22.75,0,3,0,5,10,0,7,0,6,5
2020,0,2,12.19,41.07,0,3,0,9,1,1,2,1,8,9
2020,6,2,43.3,53.46,2,9,0,10,8,1,5,0,10,3
2020,9,2,34.66,24.01,0,5,1,4,8,0,10,0,3,5
2022,4,1,24.66,55.54,2,7,1,2,9,1,8,0,8,6
2024,0,1,29.26,33.86,2,4,0,10,4,1,5,0,8,5
2023,1,1,44.63,30.02,0,10,0,2,7,1,8,1,10,1
2024,4,1,17.06,16.25,0,6,1,10,8,0,8,0,5,4
2020,0,1,34.79,16.9,0,2,1,2,5,1,3,1,9,4
2020,8,0,48.34,56.82,2,6,0,8,8,0,9,1,5,10
2024,1,0,17.01,10.06,0,3,1,5,6,0,8,0,6,1
2023,6,2,22.63,24.02,0,9,1,4,1,0,3,1,7,2
2022,3,1,33.44,66.56,1,4,1,6,4,1,5,0,2,8
2021,6,0,33.8,21.12,2,7,0,2,1,0,1,1,10,10
2020,8,1,41.21,13.13,0,10,1,1,7,0,6,1,10,6
2022,1,2,48.48,62.24,0,7,0,7,8,0,10,0,9,4
2024,0,2,43.52,65.73,1,6,1,9,6,0,10,0,10,3
2020,7,2,35.01,20.02,1,7,0,7,3,0,8,0,10,2
2023,8,1,25.49,22.35,0,9,1,8,6,0,8,0,6,7
2023,9,2,6.39,42.88,2,2,0,3,7,1,7,0,8,10
2020,9,0,44.56,63.19,2,10,1,7,1,0,9,0,2,10
2021,4,2,14.07,16.74,0,10,0,5,1,0,2,1,1,2
2022,1,0,12.62,21.87,0,6,0,5,4,0,7,0,6,4
2024,4,0,46.93,14.27,2,3,0,6,3,0,1,1,5,5
2023,4,0,44.99,28.88,0,7,1,7,4,0,4,0,8,3
2022,4,1,42.57,30.82,2,1,0,3,9,1,8,0,2,10
2021,5,1,17.97,56.25,0,2,1,1,4,1,5,1,1,10
2022,6,0,21.35,42.75,1,8,1,4,2,0,4,0,9,5
2024,7,1,16.04,17.61,0,1,0,1,2,1,9,0,8,8
2021,0,1,27.21,12.92,1,5,0,6,8,1,10,0,4,1
2022,2,2,44.4,36.77,1,1,0,2,9,1,9,1,10,6
2021,9,2,45.83,66.7,1,1,1,5,4,0,7,1,8,7
2023,8,1,24.23,37.16,1,10,1,9,8,0,4,0,1,9
2020,7,2,23.46,49.4,2,8,1,5,4,0,5,0,1,2
2020,6,0,18.54,13.06,1,6,0,5,1,0,3,1,1,4
2024,7,0,45.07,16.45,2,9,1,3,9,1,9,0,2,5
2022,9,1,39.89,27.49,1,7,0,4,7,1,1,0,5,7
2020,4,0,22.4,17.72,2,4,1,1,2,1,3,1,3,8
2022,6,0,11.28,63.46,1,6,1,9,1,0,5,0,3,6
2023,7,0,44.02,37.82,0,6,0,3,9,0,9,0,3,8
2023,0,2,34.44,22.1,0,2,1,6,4,0,8,0,1,7
2020,4,2,9.18,23.52,2,9,1,6,3,1,3,0,6,2
2020,7,2,21.96,43.7,2,1,0,8,5,0,6,0,2,4
2024,7,0,8.94,56.36,1,6,0,5,6,0,5,0,7,1
2021,7,2,28.28,33.95,1,7,0,5,6,0,5,1,8,9
2022,4,1,32.68,45.2,1,4,0,8,5,1,5,0,6,5
2020,9,1,29.41,32.45,2,1,0,4,3,0,7,1,9,8
2024,5,2,48.86,24.97,1,1,0,8,10,0,9,0,7,10
2020,7,1,17.67,29.15,1,9,1,8,3,1,3,0,2,2
2024,9,0,17.07,16.14,0,5,1,9,6,0,10,1,4,4
2021,8,2,14.12,26.47,0,10,0,5,10,1,5,1,8,7
2020,7,2,27.0,52.73,2,7,1,3,9,0,2,0,10,9
2022,1,2,18.58,65.77,0,7,0,8,8,1,10,1,10,5
2022,7,2,36.45,42.25,0,4,1,4,10,0,1,1,6,4
2024,6,2,40.99,25.75,0,9,1,1,6,0,2,1,10,6
2024,1,2,45.37,58.33,0,3,1,5,6,0,4,1,3,2
2021,4,0,32.14,45.2,1,3,0,2,5,0,7,1,8,1
2020,3,2,44.12,43.67,2,4,0,4,4,1,4,1,9,6
2022,5,0,43.59,59.92,2,5,1,9,9,1,10,0,3,4
2021,1,1,37.11,61.8,1,9,0,1,10,0,5,0,8,3
2023,9,1,48.34,22.57,2,7,0,8,5,1,8,1,1,7
2023,1,1,40.84,46.85,1,10,0,3,9,1,1,1,3,8
2024,2,2,29.63,22.26,0,7,0,5,8,0,7,1,6,10
2022,5,2,19.78,57.25,0,4,1,2,6,0,1,0,2,8
2020,5,0,6.46,17.68,1,6,1,4,6,0,1,1,4,4
2022,4,1,38.89,51.49,1,10,1,5,2,1,6,0,10,9
2020,6,2,23.91,41.92,2,7,0,7,8,0,10,1,9,8
2023,6,1,23.15,51.87,2,8,1,2,3,1,3,1,6,1
2024,5,0,38.89,69.64,1,2,0,9,6,1,10,0,7,6
2024,4,2,30.07,45.42,2,3,0,7,2,1,5,0,9,3
2021,3,2,47.95,32.57,0,6,0,1,5,0,3,0,7,9
2024,0,1,40.79,27.47,2,8,1,4,5,0,8,0,6,5
2021,5,1,12.44,13.36,2,4,1,1,5,1,7,1,3,10
2020,3,2,15.69,49.22,1,6,0,8,6,1,5,1,4,8
2020,5,1,21.49,58.25,0,3,1,6,9,0,3,1,4,7
2020,2,0,28.15,11.08,0,8,1,9,1,1,8,1,7,5
2024,8,1,9.5,11.93,1,5,1,7,1,0,9,1,2,6
2023,1,2,11.72,60.12,2,9,0,8,10,1,5,0,2,1
2022,2,2,21.27,18.12,2,10,1,3,3,0,2,1,5,2
2021,2,0,9.66,44.22,2,6,0,3,2,1,10,1,3,10
2022,8,1,26.61,26.58,1,7,1,7,4,0,7,0,3,8
2021,6,2,10.9,50.61,1,7,0,5,1,0,9,0,3,3
2021,0,0,27.81,60.13,0,5,0,9,9,1,3,1,8,4
2022,7,0,33.88,44.55,2,10,1,5,7,1,4,0,8,8
2022,7,0,14.64,45.35,1,1,1,4,6,0,1,1,2,8
2024,2,2,20.01,60.32,0,2,1,6,9,1,4,1,3,10
2020,4,2,46.94,44.68,1,5,1,9,4,0,10,1,3,9
2023,7,0,40.3,24.92,2,8,1,2,8,1,5,1,6,9
2022,4,0,16.55,50.14,1,10,0,1,6,0,7,1,2,9
2024,6,0,9.45,39.66,0,1,0,8,5,1,7,1,10,1
2024,7,0,35.52,32.92,1,6,0,7,5,1,10,0,8,5
2020,1,2,29.72,32.48,0,1,1,3,8,0,1,1,6,6
2022,8,2,25.91,56.23,0,9,0,6,9,1,6,1,8,6
2024,9,2,34.37,36.41,0,8,0,1,10,1,7,0,9,6
2021,1,0,31.21,39.44,2,10,1,9,9,0,1,1,4,1
2022,5,0,14.98,44.26,0,3,1,2,7,1,5,1,5,3
2021,3,0,9.93,52.76,1,9,1,10,10,0,5,0,7,3
2022,7,2,45.83,16.54,2,5,1,10,9,1,4,0,2,2
2021,4,2,8.79,23.31,2,8,0,3,10,1,1,0,5,9
2024,1,1,25.59,45.37,2,4,0,3,4,1,9,0,2,5
2020,7,2,49.46,67.77,2,8,0,10,7,0,5,1,3,5
2023,0,2,18.65,40.57,1,10,0,4,9,1,10,0,3,6
2024,6,1,48.87,15.72,0,3,0,3,2,1,5,0,10,6
2024,5,2,10.34,62.83,1,1,1,2,5,0,2,0,7,3
2021,3,2,37.7,68.45,1,1,1,1,7,1,9,0,7,6
2021,0,1,16.13,12.44,1,3,1,9,2,1,9,0,8,3
2023,3,1,16.18,59.82,2,1,1,5,10,0,1,0,1,5
2024,6,0,17.57,47.98,2,3,1,6,5,0,7,0,5,2
2020,1,2,31.87,41.88,1,6,1,3,9,1,10,1,4,10
2020,5,2,32.33,61.13,1,2,1,7,4,1,7,0,4,8
2020,6,0,21.43,37.45,0,6,0,8,8,0,1,1,8,4
2021,4,1,9.09,50.16,0,7,1,8,2,1,8,0,5,6
2020,3,0,30.41,14.3,0,8,1,6,7,0,4,1,5,4
2020,3,0,42.45,44.12,0,10,0,1,2,0,5,1,9,10
2024,8,0,15.62,19.83,1,5,1,2,3,1,7,0,1,6
2024,1,0,31.52,30.04,0,10,0,6,9,1,7,0,9,1
2022,4,2,29.77,40.9,1,2,1,1,10,1,3,0,1,8
2023,2,2,22.04,20.91,0,1,1,7,5,0,2,1,10,8
2020,3,0,6.31,29.75,2,3,0,1,6,1,10,1,6,6
2023,5,1,11.31,34.41,1,8,0,9,5,0,1,1,4,10
2024,6,2,20.68,60.85,0,5,1,3,7,0,8,1,3,6
2021,3,1,43.86,16.62,2,2,0,4,6,1,5,0,2,2
2023,0,0,45.28,40.05,1,9,0,6,4,0,3,0,1,1
2024,7,0,47.61,16.32,2,4,0,10,1,0,5,1,4,5
2021,7,2,26.55,33.45,1,3,1,9,2,0,8,0,6,5
2021,1,2,15.69,42.8,2,7,0,3,8,0,1,0,2,7
2022,2,0,26.72,63.25,0,9,0,10,9,1,1,0,6,8
2021,3,2,28.0,30.28,1,9,1,1,8,1,7,0,5,6
2024,4,1,48.21,61.22,1,2,0,4,2,0,6,0,2,3
2024,1,0,7.18,26.96,1,8,1,8,10,1,6,0,8,8
2020,9,0,13.91,23.24,1,1,1,10,7,0,9,1,9,9
2022,1,1,33.69,64.47,0,4,0,6,3,1,6,0,2,8
2023,2,0,26.48,58.18,2,4,0,5,9,0,9,1,10,9
2023,7,1,45.74,67.46,1,9,0,8,6,0,5,0,9,4
2023,6,2,8.98,53.28,1,1,1,5,6,1,7,0,2,4
2021,6,1,11.56,52.45,2,9,1,1,5,1,10,0,1,6
2021,5,2,33.84,24.74,0,9,1,9,6,1,3,1,2,8
2024,2,1,25.35,31.17,1,7,0,2,3,0,3,0,10,7
2024,8,2,17.92,39.73,0,5,1,1,10,0,2,1,6,6
2021,1,1,11.82,30.4,0,9,1,3,3,0,1,0,7,10
2020,8,2,20.94,23.23,1,7,1,1,1,0,2,0,10,3
2020,3,0,37.5,57.46,2,2,0,5,7,0,9,0,5,5
2023,8,1,23.57,67.06,1,3,1,2,1,1,9,0,6,4
2021,7,2,35.99,14.58,2,8,1,8,4,0,8,0,3,3
2021,1,2,10.4,10.31,1,4,0,3,1,1,6,1,2,1
2021,7,1,48.95,36.4,2,8,0,7,6,0,8,1,10,5
2021,8,0,24.66,66.38,0,3,0,10,10,1,6,1,10,4
2024,5,2,10.81,57.22,2,7,0,6,10,1,4,0,7,4
2023,3,2,41.53,12.55,2,10,1,4,2,0,7,1,4,4
2024,8,2,45.66,53.76,1,7,0,3,8,1,7,0,3,2
2020,9,2,35.07,66.11,1,8,1,5,9,1,6,0,8,8
2020,4,2,45.1,47.2,1,4,0,10,4,0,10,1,4,9
2022,9,1,8.02,10.05,0,6,0,8,3,0,3,0,4,3
2020,7,2,36.05,52.16,2,9,0,3,1,1,9,0,8,1
2024,5,2,20.21,35.91,0,1,0,4,6,0,5,1,3,5
2021,8,0,41.12,63.66,1,6,1,3,3,0,1,0,4,8
2020,1,1,28.59,57.14,1,9,1,8,10,0,2,1,9,10
2022,2,1,26.06,20.27,1,9,0,8,7,1,2,0,4,2
2024,6,1,48.5,40.06,0,2,1,4,7,1,3,0,5,2
2022,6,2,46.51,23.48,0,9,1,3,5,1,7,0,3,7
2022,4,1,35.76,29.64,0,6,1,3,9,0,7,1,9,7
2022,0,2,26.83,33.03,1,1,0,1,6,1,9,0,7,2
2022,6,2,20.99,46.76,0,4,0,8,9,1,3,0,7,3
2021,3,0,40.23,41.86,0,4,0,6,2,1,4,0,10,2
2022,8,1,13.27,34.42,1,5,0,3,2,0,3,1,10,6
2021,6,2,5.06,15.69,2,3,1,6,2,0,10,0,7,10
2021,3,1,18.67,26.66,0,8,0,3,3,1,6,0,2,5
2020,2,1,34.76,58.13,2,1,1,9,5,0,5,0,2,1
2023,3,1,23.82,57.32,2,2,1,4,8,0,2,0,8,10
2020,9,1,33.56,37.76,1,5,1,4,7,0,8,0,2,2
2021,4,1,41.81,63.2,2,1,1,2,8,1,2,1,9,2
2023,1,1,14.16,49.88,1,6,0,9,9,0,1,0,8,1
2024,8,1,12.95,36.29,2,4,1,8,2,0,5,0,9,6
2021,2,1,45.15,46.61,1,6,0,1,1,1,7,0,6,2
2023,3,2,12.25,14.57,2,4,1,7,6,0,6,0,9,7
2020,2,1,8.29,51.24,0,6,0,7,2,0,9,1,4,8
2023,6,1,32.38,37.65,2,2,0,3,1,1,3,1,7,1
2023,1,1,29.44,24.39,2,8,0,9,2,0,2,1,2,2
2020,6,0,27.11,48.01,1,2,0,1,8,1,4,1,9,9
2022,0,1,18.11,31.05,2,6,0,10,7,1,4,1,3,6
2020,0,2,35.21,20.68,2,6,0,10,9,1,9,1,5,8
2022,4,0,7.38,23.78,0,4,0,9,8,0,8,0,2,4
2021,7,1,9.58,55.02,0,6,0,3,3,0,10,1,2,3
2021,4,2,46.03,23.85,1,6,0,2,2,0,7,0,7,3
2024,0,2,7.14,22.53,1,7,0,5,4,1,2,1,9,7
2021,3,2,24.46,18.35,0,10,0,5,4,0,8,0,5,9
2020,9,2,39.02,63.83,0,2,1,4,7,0,7,1,6,8
2021,0,1,31.87,62.32,2,8,1,1,4,0,3,0,1,8
2023,7,2,8.1,32.84,0,8,0,7,5,1,3,1,2,8
2023,5,0,6.56,57.8,0,4,0,7,2,0,6,0,2,9
2020,8,0,44.35,37.96,2,3,0,6,5,1,2,1,3,8
2021,0,0,17.19,30.87,0,8,1,1,1,0,10,1,3,3
2020,1,2,39.29,12.44,2,7,1,5,6,1,7,0,8,5
2021,7,2,23.68,33.78,2,7,1,2,8,0,3,0,6,6
2021,2,1,17.24,50.3,2,6,1,10,4,0,4,1,8,9
2022,1,2,29.61,23.27,0,6,1,1,4,1,7,1,6,7
2020,4,1,14.23,40.91,1,3,1,10,4,1,9,1,2,6
2020,2,2,29.98,31.24,0,10,1,8,5,0,9,0,4,8
2024,6,1,40.54,46.71,0,7,1,7,9,0,8,0,4,4
2024,0,0,29.2,10.0,0,1,1,7,4,0,6,0,6,1
2022,2,2,40.74,50.08,1,10,0,10,8,0,5,1,9,6
2022,9,2,23.28,69.17,0,6,1,5,4,0,7,0,6,4
2020,1,2,8.94,17.36,2,2,0,1,9,0,7,1,8,8
2024,3,0,37.55,35.57,0,2,0,6,9,1,4,0,10,10
2022,2,2,40.79,13.89,2,9,0,9,3,1,4,1,9,2
2020,1,0,42.42,18.33,0,7,0,10,7,0,9,1,7,6
2022,9,1,5.57,36.53,2,8,0,10,3,0,6,0,9,7
2024,1,1,48.48,55.06,1,7,0,3,3,0,4,1,9,2
2020,5,2,7.17,45.43,0,9,0,4,7,1,2,0,8,9
2020,9,2,33.29,38.06,0,2,1,6,1,1,5,0,3,3
2021,8,0,44.99,58.16,0,9,1,3,3,0,8,0,6,4
2021,7,2,17.93,53.12,2,10,1,5,6,0,7,0,10,7
2021,8,1,6.92,49.93,0,1,0,9,1,0,7,0,5,6
2020,8,0,45.25,37.36,1,4,1,1,4,1,8,1,6,9
2024,4,0,10.85,29.9,1,5,1,7,8,1,9,1,4,4
2023,2,0,41.89,34.7,0,3,1,7,5,1,7,1,8,6
2024,1,0,30.25,44.18,1,10,1,6,3,0,3,1,10,7
2024,6,0,8.23,27.54,2,5,1,9,5,0,8,1,10,4
2023,0,2,11.73,31.81,1,7,1,2,10,0,6,0,5,1
2022,5,0,39.43,28.13,2,3,1,10,7,0,9,1,2,9
2021,3,0,43.14,61.49,2,3,1,10,7,0,8,1,2,10
2022,1,2,13.17,39.81,2,4,1,7,9,1,9,1,10,7
2024,9,2,35.74,68.69,0,3,0,5,4,1,8,0,9,6
2022,7,0,18.4,35.73,2,1,1,6,7,1,10,0,5,9
2022,7,0,41.33,37.48,2,6,0,7,2,0,9,0,8,6
2021,1,1,20.06,40.22,1,5,1,5,9,1,8,1,2,1
2023,6,2,19.54,32.36,1,9,0,8,8,1,4,1,10,7
2023,1,1,47.35,31.94,1,7,1,5,7,0,9,1,4,2
2023,4,0,48.01,12.92,1,9,1,9,10,0,10,1,6,10
2024,6,2,33.75,58.95,0,2,1,6,6,1,4,0,1,7
2022,3,1,21.9,38.98,2,4,0,7,1,0,4,1,4,4
2024,8,2,11.02,39.42,0,8,0,2,8,1,10,0,10,8
2024,4,1,31.26,40.58,2,7,0,1,1,1,5,0,4,5
2023,4,2,10.86,28.4,2,9,0,3,1,0,7,0,2,9
2021,6,0,12.05,26.31,1,6,0,4,9,0,4,0,6,6
2023,6,0,40.44,44.3,1,5,0,8,2,0,6,1,10,6
2022,9,1,42.78,60.63,2,9,0,8,7,0,2,1,9,4
2022,0,2,40.49,57.95,1,2,0,3,5,0,4,1,5,7
2021,8,1,6.28,53.36,1,7,0,2,10,1,6,0,6,6
2021,5,2,29.47,68.02,1,4,0,4,6,1,6,0,7,7
2021,5,1,26.02,53.34,0,7,1,1,8,1,7,0,4,5
2021,2,1,22.47,38.56,1,3,1,1,1,0,5,0,2,9
2024,6,0,8.22,27.51,0,2,1,3,5,0,8,0,7,8
2022,6,1,19.18,38.39,0,4,1,8,8,0,6,1,5,8
2023,5,1,8.3,26.28,2,8,0,5,7,1,5,1,4,1
2021,2,0,25.39,45.43,1,8,0,1,2,0,10,0,10,1
2020,7,1,44.6,42.39,0,10,0,4,1,0,6,1,3,9
2021,1,2,15.15,10.85,1,5,1,10,8,1,4,0,6,1
2024,6,0,44.91,65.13,1,5,0,4,2,0,7,1,4,7
2023,7,0,25.07,27.29,0,3,0,4,4,0,2,0,2,2
2020,1,2,35.6,33.71,2,2,1,5,8,1,8,0,9,8
2024,6,0,44.48,62.06,2,9,1,6,9,0,2,0,9,6
2022,1,0,19.69,59.13,1,7,1,3,6,0,4,0,4,9
2022,3,1,44.62,60.71,1,4,0,9,7,1,3,0,8,8
2024,4,0,42.84,38.11,2,8,1,7,8,0,5,0,1,4
2024,7,0,34.13,17.86,0,2,0,2,8,1,8,0,4,6
2024,2,1,26.26,65.78,1,2,1,1,7,0,2,0,6,6
2023,8,2,9.27,24.43,2,4,0,9,5,1,5,0,6,7
2022,7,2,24.77,19.33,1,10,1,2,9,0,6,1,3,1
2021,8,2,8.81,51.94,0,8,1,1,2,0,8,0,5,4
2021,3,0,23.11,68.57,2,3,1,9,6,1,4,1,2,6
2023,4,2,30.35,45.63,0,1,0,10,6,0,9,1,10,10
2021,9,0,5.59,35.49,2,6,1,8,8,0,6,1,7,4
2023,1,0,35.56,63.13,0,6,1,6,4,0,4,0,10,2
2024,1,1,32.75,35.32,2,9,1,5,3,1,5,0,6,7
2020,8,0,23.52,57.26,1,6,1,5,1,1,7,0,2,1
2023,2,0,16.75,27.56,2,3,1,8,3,1,10,0,2,5
2024,5,2,39.82,49.31,1,6,0,6,4,1,1,1,10,7
2022,9,0,31.74,34.38,0,3,0,7,3,1,3,1,4,7
2024,5,0,5.1,44.71,0,1,1,3,8,0,4,0,1,9
2023,7,1,43.06,55.32,0,2,0,2,2,0,7,0,4,5
2021,5,0,27.87,45.73,0,5,1,9,3,1,6,1,1,7
2020,4,2,11.91,52.41,0,3,1,2,4,1,7,1,5,6
2021,5,1,18.38,24.99,1,2,1,8,8,1,1,0,3,3
2023,3,0,24.65,17.9,0,4,1,6,3,1,9,1,7,5
2023,4,2,10.5,68.86,0,7,0,3,2,1,5,1,5,5
2024,2,2,30.4,55.24,2,7,1,6,1,1,7,1,2,1
2022,0,2,21.14,61.45,2,7,1,2,7,0,1,0,8,1
2023,9,2,19.08,16.18,0,7,1,6,3,0,10,1,2,6
2021,6,2,41.99,64.76,2,7,0,1,8,1,5,1,7,4
2024,3,1,24.4,36.39,1,9,0,10,10,0,9,0,1,5
2022,6,2,39.56,59.61,2,7,0,5,1,0,5,0,7,6
2021,3,2,42.34,11.25,2,3,0,1,2,1,3,1,4,7
2020,0,0,43.71,22.95,0,4,0,4,1,0,8,1,2,8
2020,0,1,39.52,12.49,0,3,1,4,2,0,6,0,3,3
2021,1,1,36.63,57.28,0,3,1,7,8,1,8,1,2,3
2022,6,0,39.89,48.95,0,9,0,9,2,1,9,1,2,5
2020,9,1,15.42,54.63,1,10,1,7,4,0,4,0,3,10
2021,4,1,45.41,27.28,2,1,1,3,3,1,8,1,8,4
2023,3,2,16.39,21.99,0,4,1,2,9,0,6,1,9,8
2021,1,2,38.31,45.71,1,8,1,1,8,1,4,1,8,3
2024,3,0,43.04,44.84,1,9,0,6,8,0,6,0,9,4
2023,6,0,25.5,51.25,2,7,0,5,1,1,6,1,10,1
2023,2,1,19.3,65.67,2,4,1,9,5,1,8,1,8,4
2021,3,1,45.7,39.27,1,3,1,1,6,1,4,0,10,7
2023,7,0,37.0,23.17,0,6,1,10,6,1,9,1,6,5
2020,5,2,27.1,65.62,2,8,1,10,1,1,4,0,1,7
2023,3,1,23.38,21.46,2,5,0,8,4,0,9,0,8,8
2021,0,2,16.33,61.43,1,7,1,10,8,0,8,0,2,7
2020,5,1,41.4,66.15,0,10,0,1,5,1,1,1,2,1
2021,5,1,47.51,44.9,2,4,0,8,4,1,8,1,7,7
2021,3,2,19.14,59.07,1,3,1,8,6,0,5,1,9,8
2022,4,2,17.45,36.6,0,1,0,5,7,0,4,1,8,9
2021,1,0,24.11,40.63,0,1,1,8,2,1,8,1,3,2
2021,9,2,12.97,50.84,0,5,0,10,9,1,3,1,1,9
2020,6,0,39.51,35.74,1,2,1,4,4,1,3,1,5,9
2020,7,2,40.32,19.95,2,7,1,1,7,0,6,0,10,7
2021,4,2,43.28,55.95,0,4,0,9,7,1,2,0,3,7
2024,4,2,48.68,48.08,1,10,0,1,6,0,8,1,8,7
2024,7,0,15.12,52.0,0,10,0,2,3,1,7,0,3,6
2022,9,2,17.44,18.28,0,8,0,5,8,1,9,1,9,4
2023,3,1,34.53,50.96,0,10,1,10,2,0,10,0,8,8
2021,0,2,47.22,32.11,0,3,0,3,8,0,10,1,3,9
2023,4,0,42.18,60.42,1,10,0,4,4,0,9,1,7,1
2024,3,1,37.62,55.4,2,7,0,8,6,0,10,0,8,6
2024,8,0,37.18,16.2,2,6,1,3,2,1,8,0,6,6
2022,4,1,8.99,18.42,0,3,1,2,8,1,8,0,8,10
2021,7,0,6.53,29.28,2,3,0,6,8,1,3,0,6,10
2021,1,1,13.53,16.0,2,7,0,10,4,0,10,1,7,6
2023,0,1,15.77,22.02,1,6,0,6,7,0,2,1,9,7
2020,7,2,18.11,30.33,0,3,0,4,3,0,8,0,5,4
2020,5,1,28.55,16.43,1,6,1,5,8,0,1,1,1,4
2023,3,0,44.61,57.97,2,5,0,8,6,0,3,0,6,2
2021,4,0,12.74,37.1,0,1,1,7,9,1,7,1,4,9
2021,5,2,32.82,14.76,0,8,0,9,1,1,8,1,6,8
2024,0,0,19.44,31.14,2,7,0,9,1,1,1,0,10,7
2023,8,2,13.29,26.26,1,8,1,8,9,1,9,0,10,4
2023,7,2,29.53,46.11,2,6,0,1,8,1,7,1,3,6
2024,4,1,22.1,49.52,2,1,0,4,5,0,4,0,9,1
2020,6,2,35.67,39.84,1,3,0,1,8,1,2,0,6,1
2020,4,1,16.86,68.09,0,5,0,10,10,1,4,1,7,7
2021,6,1,16.23,31.42,2,2,0,4,4,1,3,0,9,5
2024,3,2,19.59,65.14,2,5,0,2,1,0,1,0,9,2
2021,4,0,32.54,54.98,0,7,1,2,2,1,1,1,1,2
2021,6,0,15.37,55.77,0,1,0,5,7,1,9,0,6,4
